,database,database_id,uniprot_id,title,organism,taxonomy_id,evidence_level,protein,fold
29,sp,P18964,VSPA_DABSI,Factor V activator RVV-V alpha,Daboia siamensis,343250,1,Snake_Venom_Serine_Proteases(SVSP),val
30,sp,P82981,VSP2_AGKCO,Thrombin-like enzyme contortrixobin,Agkistrodon contortrix contortrix,8713,1,Snake_Venom_Serine_Proteases(SVSP),train
31,sp,P84787,VSP2_PROEL,Thrombin-like enzyme elegaxobin-2,Protobothrops elegans,88086,1,Snake_Venom_Serine_Proteases(SVSP),train
32,sp,P0DJ86,VSPL_BOTLC,Thrombin-like enzyme leucurobin,Bothrops leucurus,157295,1,Snake_Venom_Serine_Proteases(SVSP),train
33,sp,Q91053,VSP1_GLOUS,Thrombin-like enzyme calobin-1,Gloydius ussuriensis,35671,1,Snake_Venom_Serine_Proteases(SVSP),train
34,sp,P0C577,VSPG_BITGA,Thrombin-like enzyme gabonase (Fragment),Bitis gabonica,8694,1,Snake_Venom_Serine_Proteases(SVSP),train
35,sp,P05620,VSP1_PROFL,Thrombin-like enzyme flavoxobin,Protobothrops flavoviridis,88087,1,Snake_Venom_Serine_Proteases(SVSP),train
36,sp,Q7SZE1,VSPSX_GLOIT,Thrombin-like enzyme saxthrombin,Gloydius intermedius,44732,1,Snake_Venom_Serine_Proteases(SVSP),train
37,sp,P20005,VSP1_OVOOK,Thrombin-like enzyme okinaxobin-1 (Fragment),Ovophis okinavensis,8769,1,Snake_Venom_Serine_Proteases(SVSP),val
38,sp,P0DMU0,VSPJN_PROJR,Snake venom serine protease jerdonase (Fragment),Protobothrops jerdonii,242841,1,Snake_Venom_Serine_Proteases(SVSP),train
39,sp,P00980,VKTHA_DENAN,Kunitz-type serine protease inhibitor homolog alpha-dendrotoxin,Dendroaspis angusticeps,8618,1,Snake_Venom_Serine_Proteases(SVSP),train
40,sp,P0DJG7,VSP2_DEIAC,Thrombin-like enzyme acutobin-2 (Fragment),Deinagkistrodon acutus,36307,1,Snake_Venom_Serine_Proteases(SVSP),train
41,sp,P81661,VSPA_BOTJA,Thrombin-like enzyme bothrombin,Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),test
42,sp,P00982,VKTHD_DENAN,Kunitz-type serine protease inhibitor homolog delta-dendrotoxin,Dendroaspis angusticeps,8618,1,Snake_Venom_Serine_Proteases(SVSP),train
43,sp,Q9PT51,VSPB_GLOBL,Beta-fibrinogenase brevinase,Gloydius blomhoffii,242054,1,Snake_Venom_Serine_Proteases(SVSP),train
44,sp,A0A0S4FKT4,VSP1_CRODO,Thrombin-like enzyme collinein-1,Crotalus durissus collilineatus,221569,1,Snake_Venom_Serine_Proteases(SVSP),train
45,sp,P0DJF0,VSP48_BOTJR,Thrombin-like enzyme BJ-48 (Fragment),Bothrops jararacussu,8726,1,Snake_Venom_Serine_Proteases(SVSP),train
46,sp,P33589,VSPF_LACMU,Thrombin-like enzyme gyroxin analog,Lachesis muta muta,8753,1,Snake_Venom_Serine_Proteases(SVSP),train
47,sp,C0HLA3,VSP4_LACMR,Snake venom serine protease LmrSP-4 (Fragment),Lachesis muta rhombeata,60219,1,Snake_Venom_Serine_Proteases(SVSP),train
48,sp,P0DJG5,VSPKA_GLOHA,Snake venom serine protease AHP-Ka (Fragment),Gloydius halys,8714,1,Snake_Venom_Serine_Proteases(SVSP),test
49,sp,P04971,VSPF_BOTAT,Thrombin-like enzyme batroxobin,Bothrops atrox,8725,1,Snake_Venom_Serine_Proteases(SVSP),train
50,sp,Q6T5L0,VSPSH_GLOSH,Alpha-fibrinogenase shedaoenase,Gloydius shedaoensis,88083,1,Snake_Venom_Serine_Proteases(SVSP),val
51,sp,P33588,VSPCA_AGKBI,Protein C activator (Fragment),Agkistrodon bilineatus,8718,1,Snake_Venom_Serine_Proteases(SVSP),test
52,sp,P00981,VKTHK_DENPO,Kunitz-type serine protease inhibitor homolog dendrotoxin K (Fragment),Dendroaspis polylepis polylepis,8620,1,Snake_Venom_Serine_Proteases(SVSP),train
53,sp,Q9PRW2,VSP3_CROAT,Alpha-fibrinogenase A3 (Fragment),Crotalus atrox,8730,1,Snake_Venom_Serine_Proteases(SVSP),val
54,sp,Q9PRW4,VSPA1_CROAT,Alpha-fibrinogenase A1 (Fragment),Crotalus atrox,8730,1,Snake_Venom_Serine_Proteases(SVSP),train
55,sp,Q9PRW3,VSPA2_CROAT,Alpha-fibrinogenase A2 (Fragment),Crotalus atrox,8730,1,Snake_Venom_Serine_Proteases(SVSP),train
56,sp,P0CJ41,VSPAF_TRIAB,Alpha-fibrinogenase albofibrase,Trimeresurus albolabris,8765,2,Snake_Venom_Serine_Proteases(SVSP),train
57,sp,Q9DF67,VSP2_PROJR,Snake venom serine protease 2,Protobothrops jerdonii,242841,1,Snake_Venom_Serine_Proteases(SVSP),train
58,sp,Q8QHK3,VSP1_CROAT,Snake venom serine protease catroxase-1,Crotalus atrox,8730,1,Snake_Venom_Serine_Proteases(SVSP),test
59,sp,Q91509,VSP3_PROMU,Beta-fibrinogenase mucrofibrase-3,Protobothrops mucrosquamatus,103944,1,Snake_Venom_Serine_Proteases(SVSP),val
60,sp,Q91510,VSP4_PROMU,Beta-fibrinogenase mucrofibrase-4,Protobothrops mucrosquamatus,103944,1,Snake_Venom_Serine_Proteases(SVSP),train
61,sp,P86497,VSPR1_BITRH,Snake venom serine protease rhinocerase (Fragment),Bitis rhinoceros,715877,1,Snake_Venom_Serine_Proteases(SVSP),train
62,sp,P0DMU1,VSPJF_PROJR,Beta-fibrinogenase jerdofibrase (Fragment),Protobothrops jerdonii,242841,1,Snake_Venom_Serine_Proteases(SVSP),train
63,sp,Q9PRP4,VSPF_LACMR,Thrombin-like enzyme LMR-47 (Fragment),Lachesis muta rhombeata,60219,1,Snake_Venom_Serine_Proteases(SVSP),train
64,sp,Q91508,VSP2_PROMU,Beta-fibrinogenase mucrofibrase-2,Protobothrops mucrosquamatus,103944,1,Snake_Venom_Serine_Proteases(SVSP),val
65,sp,Q9PRM8,VSPAA_CERCE,Snake venom serine protease Afaacytin alpha/beta/beta' chains (Fragment),Cerastes cerastes,8697,1,Snake_Venom_Serine_Proteases(SVSP),val
66,sp,Q7SYF1,VSPP_CERCE,Thrombin-like enzyme cerastocytin,Cerastes cerastes,8697,1,Snake_Venom_Serine_Proteases(SVSP),train
67,sp,P81176,VSP1_GLOBL,Thrombin-like enzyme halystase,Gloydius blomhoffii,242054,1,Snake_Venom_Serine_Proteases(SVSP),test
68,sp,P81824,VSP1_BOTJA,Platelet-aggregating proteinase PA-BJ (Fragment),Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train
69,sp,Q91507,VSP1_PROMU,Beta-fibrinogenase mucrofibrase-1,Protobothrops mucrosquamatus,103944,1,Snake_Venom_Serine_Proteases(SVSP),train
70,sp,Q2PQJ3,VSP1_BOTJR,Thrombin-like enzyme BjussuSP-1,Bothrops jararacussu,8726,1,Snake_Venom_Serine_Proteases(SVSP),train
71,sp,Q8QHK2,VSP2_CROAT,Snake venom serine protease catroxase-2,Crotalus atrox,8730,1,Snake_Venom_Serine_Proteases(SVSP),train
72,sp,P0DRJ7,VSPKA_LACMU,Kallikrein-like enzyme LV-Ka (Fragment),Lachesis muta muta,8753,1,Snake_Venom_Serine_Proteases(SVSP),train
73,sp,P0DM43,VSP_PROJR,Thrombin-like enzyme jerdonobin (Fragment),Protobothrops jerdonii,242841,1,Snake_Venom_Serine_Proteases(SVSP),train
74,sp,Q9I8X2,VSP1_DEIAC,Thrombin-like enzyme acutobin,Deinagkistrodon acutus,36307,1,Snake_Venom_Serine_Proteases(SVSP),train
75,sp,P81038,VSPA_CERCE,Thrombin-like enzyme cerastotin (Fragment),Cerastes cerastes,8697,1,Snake_Venom_Serine_Proteases(SVSP),train
76,sp,Q9PSN3,VSP2_AGKBI,Thrombin-like enzyme bilineobin,Agkistrodon bilineatus,8718,1,Snake_Venom_Serine_Proteases(SVSP),train
77,sp,Q91511,VSP5_PROMU,Beta-fibrinogenase mucrofibrase-5,Protobothrops mucrosquamatus,103944,1,Snake_Venom_Serine_Proteases(SVSP),train
78,sp,P0DKY5,VSP_CRODC,Thrombin-like enzyme F202 (Fragment),Crotalus durissus cascavella,184540,1,Snake_Venom_Serine_Proteases(SVSP),train
79,sp,B0ZT25,VSPH_PROJR,Snake venom serine protease homolog,Protobothrops jerdonii,242841,1,Snake_Venom_Serine_Proteases(SVSP),test
80,sp,P0DJF6,VSPC_TRIAB,Thrombin-like enzyme chitribrisin,Trimeresurus albolabris,8765,1,Snake_Venom_Serine_Proteases(SVSP),train
81,sp,P0DJF7,VSPP_TRIPP,Thrombin-like enzyme purpurase (Fragment),Trimeresurus purpureomaculatus,101163,1,Snake_Venom_Serine_Proteases(SVSP),train
82,sp,P0DJF4,VSPAL_TRIAB,Thrombin-like enzyme albolabrase (Fragment),Trimeresurus albolabris,8765,1,Snake_Venom_Serine_Proteases(SVSP),train
83,sp,P0DKX3,VSP2_CRODM,Thrombin-like enzyme Cdc SII (Fragment),Crotalus durissus cumanensis,184542,1,Snake_Venom_Serine_Proteases(SVSP),train
84,sp,P84788,VSP1_PROEL,Thrombin-like enzyme elegaxobin-1,Protobothrops elegans,88086,1,Snake_Venom_Serine_Proteases(SVSP),train
85,sp,P0DKX2,VSP1_CRODM,Thrombin-like enzyme Cdc SI (Fragment),Crotalus durissus cumanensis,184542,1,Snake_Venom_Serine_Proteases(SVSP),train
86,sp,P0C590,VSP2_GLOUS,Thrombin-like enzyme calobin-2 (Fragment),Gloydius ussuriensis,35671,1,Snake_Venom_Serine_Proteases(SVSP),train
87,sp,P0C578,VSP2_OVOOK,Thrombin-like enzyme okinaxobin-2 (Fragment),Ovophis okinavensis,8769,1,Snake_Venom_Serine_Proteases(SVSP),val
88,sp,P47797,VSPF2_CALRH,Thrombin-like enzyme ancrod-2,Calloselasma rhodostoma,8717,2,Snake_Venom_Serine_Proteases(SVSP),test
89,sp,Q7SZE2,VSPD_GLOUS,Bradykinin-releasing enzyme KR-E-1,Gloydius ussuriensis,35671,1,Snake_Venom_Serine_Proteases(SVSP),train
90,sp,P25660,VKT9_BUNFA,Kunitz-type serine protease inhibitor IX,Bungarus fasciatus,8613,1,Snake_Venom_Serine_Proteases(SVSP),train
91,sp,P26324,VSPF1_CALRH,Thrombin-like enzyme ancrod,Calloselasma rhodostoma,8717,1,Snake_Venom_Serine_Proteases(SVSP),train
92,sp,Q9YGS1,VSPA_DEIAC,Thrombin-like enzyme acutin (Fragment),Deinagkistrodon acutus,36307,1,Snake_Venom_Serine_Proteases(SVSP),train
93,sp,P81883,VSPT2_BOTJA,Thrombin-like enzyme TL-BJ 2 (Fragment),Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train
94,sp,P81884,VSPT3_BOTJA,Thrombin-like enzyme TL-BJ 3 (Fragment),Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train
95,sp,P81882,VSPT1_BOTJA,Thrombin-like enzyme TL-BJ 1 (Fragment),Bothrops jararaca,8724,1,Snake_Venom_Serine_Proteases(SVSP),train
96,sp,P0DJE8,VSPDV_BOTJR,Thrombin-like enzyme D-V (Fragment),Bothrops jararacussu,8726,1,Snake_Venom_Serine_Proteases(SVSP),train
97,sp,P0DMH6,VSP_BOTFO,Snake venom serine protease (Fragment),Bothrops fonsecai,157549,1,Snake_Venom_Serine_Proteases(SVSP),train
98,sp,B0FXM2,VSP14_CRODU,Thrombin-like enzyme gyroxin B1.4,Crotalus durissus terrificus,8732,2,Snake_Venom_Serine_Proteases(SVSP),train
99,sp,Q072L7,VSP_LACST,Snake venom serine protease,Lachesis stenophrys,88085,2,Snake_Venom_Serine_Proteases(SVSP),train
100,sp,B0FXM3,VSP17_CRODU,Thrombin-like enzyme gyroxin B1.7,Crotalus durissus terrificus,8732,2,Snake_Venom_Serine_Proteases(SVSP),test
101,sp,Q58G94,VSP21_CRODU,Thrombin-like enzyme gyroxin B2.1,Crotalus durissus terrificus,8732,2,Snake_Venom_Serine_Proteases(SVSP),train
102,sp,B0FXM1,VSP13_CRODU,Thrombin-like enzyme gyroxin B1.3,Crotalus durissus terrificus,8732,2,Snake_Venom_Serine_Proteases(SVSP),train
103,sp,Q09GK1,VSP_PHIOL,Snake venom serine protease,Philodryas olfersii,120305,2,Snake_Venom_Serine_Proteases(SVSP),train
104,sp,Q2QA04,VSP_CRODD,Snake venom serine protease,Crotalus durissus durissus,31150,2,Snake_Venom_Serine_Proteases(SVSP),test
105,sp,P0DJG6,VSP_CROVV,Snake venom serine protease (Fragment),Crotalus viridis viridis,8742,1,Snake_Venom_Serine_Proteases(SVSP),train
106,sp,Q71QI5,VSP03_TRIST,Snake venom serine protease KN3,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
107,sp,Q71QI7,VSP11_TRIST,Snake venom serine protease KN11,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),test
108,sp,Q71QJ0,VSP02_TRIST,Snake venom serine protease KN2,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
109,sp,Q71QJ3,VSP01_TRIST,Snake venom serine protease KN1,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
110,sp,Q8QG86,VSP_BOTIN,Snake venom serine protease BITS01A,Bothrops insularis,8723,2,Snake_Venom_Serine_Proteases(SVSP),train
111,sp,Q8UVX1,VSPG_GLOUS,Snake venom serine protease gussurobin,Gloydius ussuriensis,35671,2,Snake_Venom_Serine_Proteases(SVSP),train
112,sp,Q71QH7,VSPP_TRIST,Snake venom serine protease PA,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
113,sp,Q71QI1,VSP12_TRIST,Snake venom serine protease KN12,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
114,sp,Q8UUJ2,VSPUI_GLOUS,Snake venom serine protease ussurin,Gloydius ussuriensis,35671,2,Snake_Venom_Serine_Proteases(SVSP),test
115,sp,Q71QH6,VSP13_TRIST,Snake venom serine protease KN13,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
116,sp,Q71QJ1,VSP09_TRIST,Snake venom serine protease KN9,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
117,sp,Q8UUJ1,VSPUA_GLOUS,Snake venom serine protease ussurase,Gloydius ussuriensis,35671,2,Snake_Venom_Serine_Proteases(SVSP),train
118,sp,U5YCR8,VSP_BOTPC,Snake venom serine protease pictobin (Fragment),Bothrops pictus,133440,2,Snake_Venom_Serine_Proteases(SVSP),train
119,sp,O73800,VSPSN_GLOHA,Snake venom serine protease salmobin,Gloydius halys,8714,2,Snake_Venom_Serine_Proteases(SVSP),train
120,sp,Q8AY78,VSP5M_TRIST,Snake venom serine protease 5,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
121,sp,Q6IWF1,VSPTL_BOTAL,Snake venom serine protease BthaTL,Bothrops alternatus,64174,2,Snake_Venom_Serine_Proteases(SVSP),train
122,sp,A8QL53,VSP1_NAJAT,Snake venom serine protease NaSP (Fragment),Naja atra,8656,2,Snake_Venom_Serine_Proteases(SVSP),train
123,sp,Q5W960,VSP12_BOTJA,Snake venom serine protease HS112,Bothrops jararaca,8724,2,Snake_Venom_Serine_Proteases(SVSP),train
124,sp,A8QL57,VSP1_BUNMU,Snake venom serine protease BmSP (Fragment),Bungarus multicinctus,8616,2,Snake_Venom_Serine_Proteases(SVSP),val
125,sp,Q71QI4,VSP05_TRIST,Snake venom serine protease KN5,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
126,sp,Q71QH9,VSP14_TRIST,Snake venom serine protease KN14,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
127,sp,Q71QI2,VSP2_TRIST,Snake venom serine protease CL2,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
128,sp,Q71QI3,VSP5_TRIST,Snake venom serine protease CL5,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),val
129,sp,Q71QJ2,VSP06_TRIST,Snake venom serine protease KN6,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
130,sp,Q9PTL3,VSPSA_GLOBR,Snake venom serine protease salmonase,Gloydius brevicauda,3148161,2,Snake_Venom_Serine_Proteases(SVSP),train
131,sp,Q802F0,VSPP1_GLOHA,Snake venom serine protease PTLE1,Gloydius halys,8714,2,Snake_Venom_Serine_Proteases(SVSP),test
132,sp,Q71QH5,VSP08_TRIST,Snake venom serine protease KN8,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
133,sp,Q71QI8,VSP10_TRIST,Snake venom serine protease KN10,Trimeresurus stejnegeri,39682,2,Snake_Venom_Serine_Proteases(SVSP),train
134,sp,P00992,VKT3_VIPAA,Kunitz-type serine protease inhibitor 3,Vipera ammodytes ammodytes,8705,1,Snake_Venom_Serine_Proteases(SVSP),train
135,sp,P00979,VKTH1_DENPO,Kunitz-type serine protease inhibitor homolog dendrotoxin I,Dendroaspis polylepis polylepis,8620,1,Snake_Venom_Serine_Proteases(SVSP),val
136,sp,Q9I8X0,VSP3_DEIAC,Snake venom serine protease Dav-KN,Deinagkistrodon acutus,36307,2,Snake_Venom_Serine_Proteases(SVSP),train
137,sp,Q9YGJ2,VSP1_GLOHA,Snake venom serine protease pallabin,Gloydius halys,8714,2,Snake_Venom_Serine_Proteases(SVSP),train
138,sp,E0Y420,VSP3_MACLB,Serine protease VLSP-3,Macrovipera lebetinus,3148341,2,Snake_Venom_Serine_Proteases(SVSP),train
139,sp,Q9DG84,VSP7_PROMU,Snake venom serine protease serpentokallikrein-2,Protobothrops mucrosquamatus,103944,2,Snake_Venom_Serine_Proteases(SVSP),train
140,sp,P00991,VKT1_VIPAA,Kunitz-type serine protease inhibitor 1,Vipera ammodytes ammodytes,8705,1,Snake_Venom_Serine_Proteases(SVSP),test
141,sp,Q9YGJ9,VSPH2_GLOBR,Snake venom serine protease Haly-2,Gloydius brevicauda,3148161,2,Snake_Venom_Serine_Proteases(SVSP),val
142,sp,E0Y418,VSP1_MACLB,Serine protease VLSP-1,Macrovipera lebetinus,3148341,2,Snake_Venom_Serine_Proteases(SVSP),train
143,sp,Q9I8W9,VSP4_DEIAC,Snake venom serine protease Dav-X,Deinagkistrodon acutus,36307,2,Snake_Venom_Serine_Proteases(SVSP),train
144,sp,O93421,VSPPE_GLOHA,Snake venom serine protease pallase,Gloydius halys,8714,2,Snake_Venom_Serine_Proteases(SVSP),val
145,sp,Q9DF66,VSP3_PROJR,Snake venom serine protease 3,Protobothrops jerdonii,242841,2,Snake_Venom_Serine_Proteases(SVSP),train
146,sp,B5U6Y3,VSP_ECHOC,Serine protease sp-Eoc49,Echis ocellatus,99586,2,Snake_Venom_Serine_Proteases(SVSP),train
147,sp,Q9DG83,VSP6_PROMU,Snake venom serine protease serpentokallikrein-1,Protobothrops mucrosquamatus,103944,2,Snake_Venom_Serine_Proteases(SVSP),train
148,sp,O13059,VSP1_CRAGM,Snake venom serine protease 1,Craspedocephalus gramineus,8767,2,Snake_Venom_Serine_Proteases(SVSP),train
149,sp,E5AJX2,VSP_VIPNI,Snake venom serine protease nikobin,Vipera nikolskii,1808362,2,Snake_Venom_Serine_Proteases(SVSP),train
150,sp,O13062,VSPC_CRAGM,Snake venom serine protease 2C,Craspedocephalus gramineus,8767,2,Snake_Venom_Serine_Proteases(SVSP),train
151,sp,Q9YGI6,VSP2_GLOHA,Snake venom serine protease pallabin-2,Gloydius halys,8714,2,Snake_Venom_Serine_Proteases(SVSP),train
152,sp,O13057,VSP2_PROFL,Snake venom serine protease 2,Protobothrops flavoviridis,88087,2,Snake_Venom_Serine_Proteases(SVSP),train
153,sp,O13063,VSP3_CRAGM,Snake venom serine protease 3,Craspedocephalus gramineus,8767,2,Snake_Venom_Serine_Proteases(SVSP),train
154,sp,O13058,VSP3_PROFL,Snake venom serine protease 3,Protobothrops flavoviridis,88087,2,Snake_Venom_Serine_Proteases(SVSP),train
155,sp,O13061,VSPB_CRAGM,Snake venom serine protease 2B,Craspedocephalus gramineus,8767,2,Snake_Venom_Serine_Proteases(SVSP),train
156,sp,P0DJF1,VSP1_BOTPA,Thrombin-like enzyme BpSP-1 (Fragment),Bothrops pauloensis,1042543,1,Snake_Venom_Serine_Proteases(SVSP),train
157,sp,Q90WA1,VKT1_PSETT,Kunitz-type serine protease inhibitor textilinin-1,Pseudonaja textilis textilis,169397,1,Snake_Venom_Serine_Proteases(SVSP),train
158,sp,Q7LZF4,VSP4A_CERCE,Snake venom serine protease IVa (Fragment),Cerastes cerastes,8697,1,Snake_Venom_Serine_Proteases(SVSP),train
159,sp,D8MIA3,VSPR5_BITRH,Snake venom serine protease rhinocerase 5 (Fragment),Bitis rhinoceros,715877,1,Snake_Venom_Serine_Proteases(SVSP),val
160,sp,D8MIA2,VSPR4_BITRH,Snake venom serine protease rhinocerase 4 (Fragment),Bitis rhinoceros,715877,1,Snake_Venom_Serine_Proteases(SVSP),train
161,sp,A0A1I9KNP0,VSPH1_VIPAA,Vaa serine proteinase homolog 1,Vipera ammodytes ammodytes,8705,1,Snake_Venom_Serine_Proteases(SVSP),train
162,sp,P82966,VKTCI_OPHHA,Kunitz-type serine protease inhibitor,Ophiophagus hannah,8665,1,Snake_Venom_Serine_Proteases(SVSP),train
163,sp,E5L0E4,VSPB_DABSI,Beta-fibrinogenase-like,Daboia siamensis,343250,2,Snake_Venom_Serine_Proteases(SVSP),train
164,sp,E5L0E6,VSPCA_AGKPL,Protein C activator,Agkistrodon piscivorus leucostoma,459671,2,Snake_Venom_Serine_Proteases(SVSP),train
165,sp,E5L0E3,VSPAF_DABSI,Alpha-fibrinogenase-like,Daboia siamensis,343250,2,Snake_Venom_Serine_Proteases(SVSP),train
166,sp,P0DJF5,VSPPA_TRIAB,Venom plasminogen activator GPV-PA,Trimeresurus albolabris,8765,2,Snake_Venom_Serine_Proteases(SVSP),train
167,sp,E5L0E5,VSPPA_AGKPL,Venom plasminogen activator,Agkistrodon piscivorus leucostoma,459671,2,Snake_Venom_Serine_Proteases(SVSP),train
168,sp,Q9DF68,VSPH1_PROJR,Snake venom serine protease homolog,Protobothrops jerdonii,242841,2,Snake_Venom_Serine_Proteases(SVSP),train
169,sp,Q5W958,VSPH_BOTJA,Snake venom serine protease homolog HS120,Bothrops jararaca,8724,2,Snake_Venom_Serine_Proteases(SVSP),train
170,sp,J3S833,VSP2_CROAD,Snake venom serine proteinase 2,Crotalus adamanteus,8729,1,Snake_Venom_Serine_Proteases(SVSP),train
171,sp,Q8UUK2,VSPS1_CROAD,Snake venom serine proteinase Sp1,Crotalus adamanteus,8729,2,Snake_Venom_Serine_Proteases(SVSP),train
